Afore,Total AUM (USD),Mutual Fund AUM (USD),MF AUM as % of Total
Azteca,19201702.119999997,752712.0900000001,3.9200279501054993
Banamex,66028637.64,0.0,0.0
Coppel,30935054.009999998,247703.9,0.8007223776623367
Inbursa,10750666.48,0.0,0.0
Invercap,17114718.28,0.0,0.0
PensionISSSTE,28153567.0,0.0,0.0
Principal,21929311.150000002,0.0,0.0
Profuturo,76688276.70999998,715917.0900000001,0.9335417624616489
SURA,68183571.10000001,2031673.1999999997,2.9797107532257128
XXI Banorte,67209238.85,512009.61,0.7618143260671669
TOTAL,406194743.34000003,4260015.89,1.048761944817737
